 id ; data_inversa ; dia_semana ; horario ; uf ; br ; km ; municipio ; causa_acidente ; tipo_acidente ; classificacao_acidente ; fase_dia ; sentido_via ; condicao_metereologica ; tipo_pista ; tracado_via ; uso_solo ; pessoas ; mortos ; feridos_leves ; feridos_graves ; ilesos ; ignorados ; feridos ; veiculos ; latitude ; longitude ; regional ; delegacia ; uop 
496519;2023-01-01; domingo ; 02:00:00 ; ES ;101;114; SOORETAMA ; Ausência de reação do condutor ; Saída de leito carroçável ; Com Vítimas Feridas ; Plena Noite ; Crescente ; Céu Claro ; Simples ; Reta ; Não ;1;0;1;0;0;0;1;1;-19,09484877;-40,05095848; SPRF-ES ; DEL04-ES ; UOP01-DEL04-ES 
496543;2023-01-01; domingo ; 03:40:00 ; SP ;116;113,1; TAUBATE ; Entrada inopinada do pedestre ; Atropelamento de Pedestre ; Com Vítimas Fatais ; Plena Noite ; Decrescente ; Céu Claro ; Dupla ; Reta ; Sim ;5;1;0;0;0;4;0;1;-23,0445658;-45,58259814; SPRF-SP ; DEL02-SP ; UOP02-DEL02-SP 
496590;2023-01-01; domingo ; 01:40:00 ; MT ;163;1112; GUARANTA DO NORTE ; Reação tardia ou ineficiente do condutor ; Tombamento ; Com Vítimas Feridas ; Plena Noite ; Crescente ; Ignorado ; Simples ; Não Informado ; Não ;1;0;0;1;0;0;1;1;-9,70020602;-54,87588757; SPRF-MT ; DEL06-MT ; UOP03-DEL06-MT 
496610;2023-01-01; domingo ; 10:40:00 ; PR ;376;314,8; ORTIGUEIRA ; Velocidade Incompatível ; Tombamento ; Sem Vítimas ; Pleno dia ; Crescente ; Sol ; Dupla ; Curva ; Não ;1;0;0;0;1;0;0;1;-23,985512;-51,083555; SPRF-PR ; DEL07-PR ; UOP02-DEL07-PR 
496659;2023-01-01; domingo ; 14:55:00 ; MG ;116;569,4; MANHUACU ; Acumulo de água sobre o pavimento ; Colisão frontal ; Com Vítimas Feridas ; Pleno dia ; Decrescente ; Chuva ; Simples ; Não Informado ; Não ;3;0;0;2;1;0;2;2;-20,10007457;-42,17884091; SPRF-MG ; DEL06-MG ; UOP03-DEL06-MG 
496671;2023-01-01; domingo ; 15:45:00 ; MG ;262;569,8; CORREGO DANTA ; Condutor Dormindo ; Saída de leito carroçável ; Sem Vítimas ; Pleno dia ; Decrescente ; Nublado ; Simples ; Não Informado ; Sim ;1;0;0;0;1;0;0;1;-19,716043;-46,021922; SPRF-MG ; DEL08-MG ; UOP02-DEL08-MG 
496673;2023-01-01; domingo ; 18:10:00 ; PR ;116;152; MANDIRITUBA ; Desrespeitar a preferência no cruzamento ; Colisão transversal ; Com Vítimas Feridas ; Pleno dia ; Crescente ; Céu Claro ; Simples ; Interseção de vias ; Sim ;4;0;1;0;3;0;1;3;-25,862553;-49,362008; SPRF-PR ; DEL01-PR ; UOP03-DEL01-PR 
496686;2023-01-01; domingo ; 20:00:00 ; MG ;381;897,3; CAMBUI ; Demais falhas mecânicas ou elétricas ; Incêndio ; Sem Vítimas ; Plena Noite ; Crescente ; Ignorado ; Dupla ; Reta ; Não ;1;0;0;0;1;0;0;1;-22,63961103;-46,08077997; SPRF-MG ; DEL16-MG ; UOP03-DEL16-MG 
496709;2023-01-01; domingo ; 21:54:00 ; SP ;116;105,5; TAUBATE ; Transitar na contramão ; Colisão lateral mesmo sentido ; Com Vítimas Feridas ; Plena Noite ; Crescente ; Céu Claro ; Dupla ; Reta ; Não ;4;0;2;0;1;1;2;3;-23,00757973;-45,51466613; SPRF-SP ; DEL02-SP ; UOP02-DEL02-SP 
496711;2023-01-01; domingo ; 21:50:00 ; BA ;116;366; SERRINHA ; Velocidade Incompatível ; Colisão traseira ; Sem Vítimas ; Plena Noite ; Decrescente ; Garoa/Chuvisco ; Simples ; Reta ; Não ;2;0;0;0;2;0;0;2;-11,72514;-38,98642914; SPRF-BA ; DEL02-BA ; UOP01-DEL02-BA 
